active,additionalInfoLink,archiveDate,archiveType,award,baseType,classificationCode,description,fullParentPathCode,fullParentPathName,links,naicsCode,naicsCodes,noticeId,officeAddress.city,officeAddress.countryCode,officeAddress.state,officeAddress.zipcode,organizationType,placeOfPerformance,placeOfPerformance.city.code,placeOfPerformance.city.name,placeOfPerformance.country.code,placeOfPerformance.country.name,placeOfPerformance.state.code,placeOfPerformance.state.name,placeOfPerformance.streetAddress,placeOfPerformance.streetAddress2,placeOfPerformance.zip,pointOfContact,postedDate,resourceLinks,responseDeadLine,solicitationNumber,title,type,typeOfSetAside,typeOfSetAsideDescription,uiLink
Yes,,2025-07-09,auto15,,Solicitation,R706,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dc1c98edd5e041f8b0e44027481444d6,057.5700.AFSOC.FA4417,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE SPECIAL OPERATIONS COMMAND.FA4417 1 SOCONS,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=dc1c98edd5e041f8b0e44027481444d6&limit=1'}]",561210,['561210'],dc1c98edd5e041f8b0e44027481444d6,HURLBURT FIELD,USA,FL,32544-5810,OFFICE,,32975,Hurlburt Field,USA,UNITED STATES,FL,Florida,,,32544,"[{'fax': '', 'type': 'primary', 'email': 'shawn.edwards.14@us.af.mil', 'phone': '8508841258', 'title': None, 'fullName': 'Shawn Edwards'}, {'fax': '', 'type': 'secondary', 'email': 'melissa.perez-hughes@us.af.mil', 'phone': '8508844856', 'title': None, 'fullName': 'MELISSA PEREZ HUGHES'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0e7a4e2f348f4c17ae75dc4ac66c62d7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1ad1ea392d1f4432b0a1d81f7366b0e0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2d8e71054f604cf881f2d5b6e8f40e06/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/443843e1983e4134b69bfa78d79f12ac/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4e2651ec43e14778a0e85da804466e0a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4f98b0817be742aeaca26c22d3328d1c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/55a645e2c25e46cc8b69e0b1a43479c5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/57f2116fd82b4eab83c4d6e29cfddc16/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5969f90e6ebb4d25aa2ba2f946709188/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/644d735ad522461d925cc0dd57401d19/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/679905c9a8fb4746aa25ea466b61e0a0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/708a773b556a4b5eb4dab3b6c96dded3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7757e423d8e349c7a2b4754c6fa11dba/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7c53756b690e42488dc2a150b580634c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a41596a4ec8d44088118d87d1caf21c7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a4b9b145cefb46bd92043b79af6268bf/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/aabbdd1af0e34ca99aaad8354be4f46e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad56e2ddf7ad4615a9bbf1b8af4a8ffb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b504807b8974409a891f8618098d72a7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b816cd982e404945ae0d9599e0bdf1b0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c80260524bc84766b7b8bd30141f1fac/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/cceb2a8786d44514ab1e4627a76d64eb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d9f6cdd325514701951b0a1fd950693d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e9ce786983c74594970540b5711a0363/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f0931b3b1d0944e696b46fb024733787/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f4b4db3cdfb64500b55af4ce8137d61f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f6092604a802469bae3b225449fd25bc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f618924564f042fba86a39f5433071cc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f68389e8924a48bf83ec36242f61a5be/download']",2025-06-24T10:00:00-05:00,FA441725R0015,Contractor Operated Civil Engineer Supply Store (COCESS),Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/dc1c98edd5e041f8b0e44027481444d6/view
Yes,,2025-06-17,autocustom,,Solicitation,6540,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d5f3998d2b284056a508c193e8fbea58,075.7527.75H709,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.INDIAN HEALTH SERVICE.BILLINGS AREA INDIAN HEALTH SVC","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=d5f3998d2b284056a508c193e8fbea58&limit=1'}]",339115,['339115'],d5f3998d2b284056a508c193e8fbea58,BILLINGS,USA,MT,59107,OFFICE,,6550,Billings,USA,UNITED STATES,MT,Montana,,,59107,"[{'fax': '', 'type': 'primary', 'email': 'mitzi.horn@ihs.gov', 'phone': '4062477067', 'title': None, 'fullName': 'Mitzi Horn'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2e81ae19020947af976625a4ba664441/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3784319267b1439986ba51a239be25a6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3b43c374b1f6458f8c0f037f003b17b3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3d1a785dd2f04374976fb582552de82a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8471d986fdd044c99a0a5d7af24b8188/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e99ff669da29471094f931d3eb67e82d/download']",2025-06-17T17:00:00-06:00,75H709-BAIHS25Q-012,Prescription Eyeglasses for the Billings Area Indian Health Service (BAIHS) Locations.,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/d5f3998d2b284056a508c193e8fbea58/view
Yes,,2025-07-11,auto15,,Solicitation,Q999,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cc26906c76b144329b8f3bf3a95cf73b,075.7527.75H709,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF.INDIAN HEALTH SERVICE.BILLINGS AREA INDIAN HEALTH SVC","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=cc26906c76b144329b8f3bf3a95cf73b&limit=1'}]",621340,['621340'],cc26906c76b144329b8f3bf3a95cf73b,BILLINGS,USA,MT,59107,OFFICE,,42250,Lame Deer,USA,UNITED STATES,MT,Montana,,,59043,"[{'fax': '4064774426', 'type': 'primary', 'email': 'Clarette.Yellowrobe@ihs.gov', 'phone': '4064774417', 'title': None, 'fullName': 'Clarette Yellowrobe, Purchasing Agent'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad385c55b3c9496790973322cf4e4ffc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b95355638c6a44adb8989f51146dcfec/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d66b6346e1e74098b2928ec79eff2595/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fc9e4543f21f4d3eaf051f043c1637eb/download']",2025-06-26T15:00:00-06:00,75H70925Q00004,"Audiologist Service for the Northern Cheyenne Service Unit, Lame Deer, Montana",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/cc26906c76b144329b8f3bf3a95cf73b/view
Yes,,2025-12-01,autocustom,,Solicitation,Z2GC,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c907a05df4024dff9dbe0cd151fa046a,057.5700.AFMC.AFSC.FA8137,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE SUSTAINMENT CENTER.FA8137  AFSC PZIOC,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c907a05df4024dff9dbe0cd151fa046a&limit=1'}]",236220,['236220'],c907a05df4024dff9dbe0cd151fa046a,TINKER AFB,USA,OK,73145-9125,OFFICE,,0,S Coffeyville,USA,UNITED STATES,OK,Oklahoma,,,73145,"[{'fax': '', 'type': 'primary', 'email': 'eric.owens.8@us.af.mil', 'phone': '4057363414', 'title': None, 'fullName': 'Eric Owens'}, {'fax': '', 'type': 'secondary', 'email': 'stephen.palmer@us.af.mil', 'phone': '4057394182', 'title': None, 'fullName': 'Stephen Palmer'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/308d33a86ed94dfab8c4936907714a15/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/315f0a9477494dad889404c61ce43ddb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/53c4b6ae69f34c85976cce3eff3147de/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5d8996a5317341fa9d466affdb7a42e5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/634afe2ecde44725ac2ab61618702eb3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7f4238c72ee9414a9d497bb727246c2d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/977abae04baa4e52a9a6e07f92c208d3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bfa19feda0fc44a9848963598c18e9ac/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ca3f58e76f704a8885bcd4dca72947f2/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/db2e1e6efd914564a6808ecf8ab38248/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f242c2bf0afa44b99bf8ef8d4182369d/download']",2025-06-26T14:00:00-05:00,FA813725R0033,"Tinker AFB MAC BOA WWYK230052, Replace Vault and Fuel Tank, B1032",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/c907a05df4024dff9dbe0cd151fa046a/view
Yes,,2025-07-29,auto15,,Solicitation,5340,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c8d5baa7c06541dfbf9443a982e73ddd,017.1700.NAVSUP.NAVSUP WSS.NAVSUP WSS MECH.N00104,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c8d5baa7c06541dfbf9443a982e73ddd&limit=1'}]",332510,['332510'],c8d5baa7c06541dfbf9443a982e73ddd,MECHANICSBURG,USA,PA,17050-0788,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'AMANDA.R.HAYWARD.CIV@US.NAVY.MIL', 'phone': None, 'title': None, 'fullName': 'Telephone: 7176055834'}]",2025-06-13,,2025-07-14T16:30:00-04:00,N0010425QAD93,LATCH ASSY,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/c8d5baa7c06541dfbf9443a982e73ddd/view
Yes,,2025-06-18,autocustom,,Solicitation,4320,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c8be3f637a9649afb466ba1c111924e3,021.2100.W912CH,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC WRN.W6QK ACC- DTA,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c8be3f637a9649afb466ba1c111924e3&limit=1'}]",334419,['334419'],c8be3f637a9649afb466ba1c111924e3,WARREN,USA,MI,48397-5000,OFFICE,,,,,,,,,,,"[{'fax': '', 'type': 'primary', 'email': 'justine.r.broughton.civ@army.mil', 'phone': '5715889034', 'title': None, 'fullName': 'Justine Broughton'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0fec4bf7c6b34a8caa65b7f06dd354fc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/16822479feb9427bb129d04e790232d4/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4cc089744ba54b5f92050e5851ca6d20/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/53d0fb5101bd45eb9adaa58d658775d3/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5a0778afd1864714b2c06ac9f71b3f56/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7b25b2da7e1842a3973bdb53f68353eb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/aa1ea2d005a3413bb7bb5cc00652cecb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c51562f3ed3044f998cea4c0e24bc3bf/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f7f57fcd6f814e6d9e5de33884f2382a/download']",2025-07-07T15:00:00-04:00,W912CH-24-R-0036,"SOLICIATION FOR PARTS KIT, HYDRUALIC NSN: 4320-01-086-6793",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/c8be3f637a9649afb466ba1c111924e3/view
Yes,,2025-07-10,auto15,,Solicitation,5680,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c2c2cb76769c4f80b15267298a15218d,014.1448.140FS2,"INTERIOR, DEPARTMENT OF THE.US FISH AND WILDLIFE SERVICE.FWS, SAT TEAM 2","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=c2c2cb76769c4f80b15267298a15218d&limit=1'}]",327331,['327331'],c2c2cb76769c4f80b15267298a15218d,Falls Church,USA,VA,22041,OFFICE,,9100,Broken Bow,USA,UNITED STATES,OK,Oklahoma,FWS LITTLE RIV NWR,Multiple Locations ,74728,"[{'fax': None, 'type': 'primary', 'email': 'dana_arnold@fws.gov', 'phone': '7034688289', 'title': None, 'fullName': 'Arnold, Dana'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/20620f06c4e84a2b996ce1201cbd2588/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/632cce2bb73e476a9f45119e2f846bb5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/af83522b78664b8d9371cd315b36248a/download']",2025-06-25T15:00:00-04:00,140FS225Q0130,56--OK - LITTLE SANDY NWR - Articulated Concrete Mats ,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/c2c2cb76769c4f80b15267298a15218d/view
Yes,,2026-06-13,autocustom,,Solicitation,5830,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=be3e1fbc8ad343a09f6d69a238c48ff5,057.5700.AFGSC.FA4690,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE GLOBAL STRIKE COMMAND.FA4690  28 CONS PKC,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=be3e1fbc8ad343a09f6d69a238c48ff5&limit=1'}]",334310,['334310'],be3e1fbc8ad343a09f6d69a238c48ff5,ELLSWORTH AFB,USA,SD,57706-4947,OFFICE,,,,,,,,"Ellsworth AFB, SD",,57706,"[{'fax': '', 'type': 'primary', 'email': 'keith.garner.1@us.af.mil', 'phone': '6053851721', 'title': None, 'fullName': 'Keith Garner'}, {'fax': '', 'type': 'secondary', 'email': 'LAURIE.LYKKEN.1@US.AF.MIL', 'phone': '6053851742', 'title': None, 'fullName': 'Laurie Lykken'}]",2025-06-13,,2025-07-01T15:00:00-06:00,FA469025Q0036,Public Address System Headend Equipment,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/be3e1fbc8ad343a09f6d69a238c48ff5/view
Yes,,2025-07-08,auto15,,Presolicitation,8945,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bd38e6f622d94b148f7d89687e9c0733,015.1540.15BFA0,"JUSTICE, DEPARTMENT OF.FEDERAL PRISON SYSTEM / BUREAU OF PRISONS.FAO","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=bd38e6f622d94b148f7d89687e9c0733&limit=1'}]",311999,['311999'],bd38e6f622d94b148f7d89687e9c0733,GRAND PRAIRIE,USA,TX,75051,OFFICE,,45000,Miami,USA,UNITED STATES,FL,Florida,,,33177,"[{'fax': None, 'type': 'primary', 'email': 'jgraffi@bop.gov', 'phone': None, 'title': None, 'fullName': 'Jason Graffi'}, {'fax': None, 'type': 'secondary', 'email': 'M1CASTILLO@bop.gov', 'phone': None, 'title': None, 'fullName': 'Mairenilda Castillo'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/53df73ae6f124089b4bfeae6e9e87341/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bdf00bedff1e4c9bbb7c92ebe38e3a5b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d82233dfebc341028f6e69d1643c3378/download']",2025-06-23T09:00:00-04:00,15B30925Q00000001,"FCI MIAMI, FL SUBSISTENCE MEAT KOSHER REQUIREMENTS 4TH QTR FY25",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/bd38e6f622d94b148f7d89687e9c0733/view
Yes,,2025-07-15,auto15,,Solicitation,Y1QA,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bcfa65afde09454ba3e3830e9ef5463d,021.2100.USACE.NAD.W912WJ,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.W2SD ENDIST NEW ENGLAND,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=bcfa65afde09454ba3e3830e9ef5463d&limit=1'}]",238160,['238160'],bcfa65afde09454ba3e3830e9ef5463d,CONCORD,USA,MA,01742-2751,OFFICE,,,,,,,,,,,"[{'fax': '', 'type': 'primary', 'email': 'jennifer.m.samela@usace.army.mil', 'phone': '9783188324', 'title': None, 'fullName': 'Jennifer M. Samela'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/44da4f00dff146b68bf4966c792dac69/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/9f3f8779079e49d5975a8bee2dcf4709/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/aee7f7d50a474472bac22a90a8a05c32/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e7326ce00d1542c694a29b904808ffe8/download']",2025-06-30T17:00:00-04:00,W912WJ25QA040,"PVC Membrane Roof Replacement, New Bedford Hurricane Barrier, New Bedford, MA",Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/bcfa65afde09454ba3e3830e9ef5463d/view
Yes,,2025-07-11,auto15,,Solicitation,R425,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b83b6c07beb1465bade1df14cdc8ea77,031.3100.313100,NUCLEAR REGULATORY COMMISSION.NUCLEAR REGULATORY COMMISSION.NUCLEAR REGULATORY COMMISSION,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=b83b6c07beb1465bade1df14cdc8ea77&limit=1'}]",541990,['541990'],b83b6c07beb1465bade1df14cdc8ea77,ROCKVILLE,USA,MD,20855,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'Jeffrey.Mitchell@nrc.gov', 'phone': '301-415-5074', 'title': None, 'fullName': 'MITCHELL, JEFFREY R.'}]",2025-06-13,,2025-06-26T11:00:00-04:00,31310025R0018,R-- Radioactive Sources and Uranium Recovery Projects,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/b83b6c07beb1465bade1df14cdc8ea77/view
Yes,,2025-07-10,auto15,,Solicitation,F103,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b4362983e25f484198d011cbf370f7a3,014.1443.140P15,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.IMR ARIZONA(12400)","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=b4362983e25f484198d011cbf370f7a3&limit=1'}]",221310,['221310'],b4362983e25f484198d011cbf370f7a3,FLAGSTAFF,USA,AZ,86001,OFFICE,,,,,,,,,,,"[{'fax': None, 'type': 'primary', 'email': 'dennis_zoltak@nps.gov', 'phone': '7206700856', 'title': None, 'fullName': 'Zoltak, Dennis'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/27262caac32943798cd82a96c64dd27f/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2c7cb5748ff94d21bff936d7ae0a321e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f5e604d19b1546db8f68154a2496c2a6/download']",2025-06-25T23:00:00-04:00,140P1525Q0114,F--GRCA 2025 BACKFLOW TESTING,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/b4362983e25f484198d011cbf370f7a3/view
Yes,,2025-07-03,auto15,,Presolicitation,V112,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b35585b9e7624e34ac9bf7019b34d5b6,021.2100.AMC.ACC.ACC-OO.413TH CSB.W912CN,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-OO.413TH CSB.0413 AQ HQ     RCO-HI,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=b35585b9e7624e34ac9bf7019b34d5b6&limit=1'}]",488490,['488490'],b35585b9e7624e34ac9bf7019b34d5b6,FORT SHAFTER,USA,HI,96858-5025,OFFICE,,69050,Schofield Barracks,USA,UNITED STATES,HI,Hawaii,,,96857,"[{'fax': '', 'type': 'primary', 'email': 'maria.d.olipas.civ@army.mil', 'phone': '8087878825', 'title': None, 'fullName': 'Maria Olipas'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3e6d80643ab64771bad43483201906c0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8899846fd1d647918838d78e71f01ee8/download']",2025-06-18T15:00:00-10:00,W912CN-25-Q-A029,SVC - Barrier Mobilization for 4th of July,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/b35585b9e7624e34ac9bf7019b34d5b6/view
Yes,,2025-08-31,autocustom,,Solicitation,9130,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b27fe938780a4c43bbf253fd0ba85726,014.1443.140P45,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.NER SUPPLY MABO(45000)","[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=b27fe938780a4c43bbf253fd0ba85726&limit=1'}]",212114,['212114'],b27fe938780a4c43bbf253fd0ba85726,STATEN ISLAND,USA,NY,10305,OFFICE,,,,,,,,,,,"[{'fax': '718-815-6971', 'type': 'primary', 'email': 'Linda_Richardson@nps.gov', 'phone': '7188156151', 'title': None, 'fullName': 'Richardson, Linda'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/099eebb1aeb14e5bb20f587f37db3364/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5c8b799517fd402289fc2f3d37fa4da4/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b42c9e269d9944f1805be913d3f48457/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b9100bfef4ae4fd88e85b3982a9e29a7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ee66580ce2424c6fa905f0859c75e6aa/download']",2025-06-20T14:00:00-04:00,140P4525Q0033,STEA-BULK COAL DELIVERY,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/b27fe938780a4c43bbf253fd0ba85726/view
Yes,,2025-07-18,auto15,,Solicitation,5975,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ade44c8129e14e01bae2b1e275de54a7,057.5700.ACC.FA4819,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR COMBAT COMMAND.FA4819  325 CONS PKP,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=ade44c8129e14e01bae2b1e275de54a7&limit=1'}]",335311,['335311'],ade44c8129e14e01bae2b1e275de54a7,TYNDALL AFB,USA,FL,32403,OFFICE,,FL-11,Tyndall AFB,USA,UNITED STATES,FL,Florida,,,32403,"[{'fax': None, 'type': 'primary', 'email': 'tyler.smith.113@us.af.mil', 'phone': '8502838694', 'title': None, 'fullName': 'SrA Tyler Smith'}, {'fax': '', 'type': 'secondary', 'email': 'benjamin.spear.1@us.af.mil', 'phone': '8502838651', 'title': None, 'fullName': 'SSgt Benjamin Spear'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/12ac8d2e5303448bb4c3b4d694811798/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/66d3e2f1b3034e11879783e0a53c9fc4/download']",2025-07-03T13:00:00-05:00,FA4819Q0033,Power Distribution Panels,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/ade44c8129e14e01bae2b1e275de54a7/view
Yes,,2025-07-12,auto15,,Solicitation,J066,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=acea26956d0348a583ade99001587210,097.97AS.DCSO.DCSO RICHMOND.SP4703,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DCSO.DCSO RICHMOND.DCSO RICHMOND DIVISION #1,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=acea26956d0348a583ade99001587210&limit=1'}]",811210,['811210'],acea26956d0348a583ade99001587210,RICHMOND,USA,VA,23237,OFFICE,,48376,Mechanicsburg,USA,UNITED STATES,PA,Pennsylvania,,,,"[{'fax': '', 'type': 'primary', 'email': 'Corinne.Kuge@dla.mil', 'phone': '', 'title': None, 'fullName': 'Corinne Kuge'}, {'fax': '', 'type': 'secondary', 'email': 'allison.douglewicz@dla.mil', 'phone': '', 'title': None, 'fullName': 'Allison Douglewicz, Contracting Officer'}]",2025-06-13,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0666b16fc5884ad1969dd9f4cb37d1fc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f1da96d9f6c64e6790b00c2e661440cb/download']",2025-06-27T15:00:00-04:00,SP470325Q0048,Mechanicsburg PA Granite Plates and Rockwell Hardness Tester Recertification,Solicitation,SBA,Total Small Business Set-Aside (FAR 19.5),https://sam.gov/opp/acea26956d0348a583ade99001587210/view
